ID,Fecha de Nacimiento,Edad,Estado Civil,Género,Numero de Hijos,Departamento,Posición,Pos-género,Salario Base Anual,C. desplazamiento,Horas Extras,€/h xtra,C. Objetivos,Salario total anual,Fecha de Contratación,Antigüedad,Antigüedad Binner,H.FormaciónXantigüedad,Rotaciones,Horas absentismo último año,Nivel de estudios,Teletrabajo,Performace,Engagement,Int.teletrabajo,Int.Nivel de estudios,Int. Posición-Gen,Int.Departamento,Int.Género,Int.Estado Civil
17,1999-05-18,23,Soltero,Hombre,0,Producción,Operario,Técnico Nivel A,28000,1310,27,408,0,31203.9,2008-09-01,13,>8,23,2,0,Máster,NO,78.2,3.4,1,3,4,9,1,0
20,1963-05-03,58,Soltero,Hombre,1,Producción,Manager,Operario,25000,1262,33,329,1337,29324.4,2007-07-17,14,>8,27.5,2,3,Grado,NO,20.6,3.6,1,2,11,9,1,0
21,1975-07-04,51,Casado,Hombre,0,Administración y Finanzas,Administrativo,Técnico de Soporte,28000,1329,35,347,0,31160.85,2012-09-04,9,>8,26.7,0,1,Grado,SI,29.9,1.1,0,2,10,5,1,1
23,1991-08-20,32,Soltero,Hombre,0,Compras,Manager,Comercial,17000,962,43,429,993,20353.2,2009-04-11,12,>8,33.7,0,5,Grado,NO,40.5,0.3,1,2,9,6,1,0
24,2002-06-10,24,Soltero,Hombre,0,Producción,Técnico Nivel B,Comercial,17000,997,31,309,1026,20298.6,2012-04-10,9,>8,25.8,0,4,Grado,NO,21.5,3.2,1,2,9,9,1,0
27,2002-04-23,28,Soltero,Hombre,1,Administración y Finanzas,Manager,Técnico Nivel C,17000,0,38,680,0,18564,2016-05-20,5,4-6,50.6,3,4,Máster,SI,54.4,1.1,0,3,8,5,1,0
29,1989-09-17,41,Casado,Hombre,1,Comercial,Comercial,Comercial,17000,992,32,322,619,19880.7,2017-03-17,4,2-4,40.5,1,1,FP Superior,NO,57.3,2,1,1,9,7,1,1
35,1998-04-17,27,Soltero,Hombre,2,Producción,Operario,Comercial,17000,997,28,278,1767,21044.1,2011-10-15,10,>8,26.8,1,5,Grado,NO,14.3,3.9,1,2,9,9,1,0
36,1964-04-05,60,Soltero,Hombre,1,Soporte y Mantenimiento,Manager,Técnico Nivel B,31000,1466,40,596,0,34716.15,2010-02-21,11,>8,21.4,1,4,Grado,NO,34.8,0.5,1,2,6,8,1,0
39,1991-06-25,33,Soltero,Hombre,0,Producción,Operario,Operario,25000,1204,26,261,1177,29023.05,2010-04-17,11,>8,30.6,0,0,Grado,NO,26.5,4.1,1,2,11,9,1,0
41,2003-02-20,25,Soltero,Hombre,0,Administración y Finanzas,Administrativo,Técnico de Soporte,28000,1504,34,342,0,31337.25,2014-09-06,7,6-8,125.8,0,9,Máster,SI,40.4,0.4,0,3,10,5,1,0
43,1973-07-02,51,Divorciado,Hombre,5,Producción,Operario,Operario,25000,1235,30,302,109,27978.3,2010-06-29,11,>8,28.7,1,3,Máster,NO,46.9,4,1,3,11,9,1,2
44,1966-08-09,57,Soltero,Hombre,0,Comercial,Comercial,Técnico de Soporte,28000,1954,37,372,0,31843.35,2009-11-13,11,>8,37,1,5,Máster,SI,43.7,1.6,0,3,10,7,1,0
48,1974-10-20,58,Casado,Hombre,4,Recursos Humanos,Técnico Nivel C,Técnico Nivel A,28000,1382,26,395,0,31265.85,2019-05-13,2,<2,63.9,2,0,Máster,NO,49.3,3.9,1,3,4,3,1,1
51,1975-06-11,51,Casado,Hombre,1,Producción,Operario,Técnico Nivel B,31000,1499,36,545,0,34695.15,2012-01-16,9,>8,36.1,2,1,Grado,NO,49.6,4.2,1,2,6,9,1,1
55,1964-03-07,60,Casado,Hombre,1,Administración y Finanzas,Administrativo,Técnico de Soporte,28000,1280,36,363,0,31125.15,2010-01-23,11,>8,23.8,1,6,Máster,NO,35.5,1,1,3,10,5,1,1
56,1984-08-06,47,Divorciado,Hombre,0,Producción,Operario,Técnico Nivel C,17000,0,37,671,0,18554.55,2018-02-07,3,2-4,59.9,3,5,FP Superior,NO,41.8,2.2,1,1,8,9,1,2
60,2006-12-04,25,Soltero,Hombre,0,Compras,Técnico Nivel B,Operario,25000,1209,29,291,271,28108.5,2017-10-29,4,2-4,62.5,1,4,Grado,NO,15.1,2.4,1,2,11,6,1,0
61,2001-06-11,20,Soltero,Hombre,0,Producción,Operario,Operario,25000,1247,30,305,2321,30316.65,2007-12-20,13,>8,22.1,1,4,Máster,NO,32.4,2.5,1,3,11,9,1,0
62,1974-08-03,58,Casado,Hombre,1,Producción,Gerente,Técnico de Soporte,28000,1068,26,258,0,30791.25,2018-08-29,3,2-4,54.7,1,8,Máster,SI,40.1,3.4,0,3,10,9,1,1
64,1983-01-05,49,Casado,Hombre,1,Producción,Operario,Técnico Nivel C,17000,0,31,556,0,18433.8,2018-04-28,3,2-4,72.1,0,3,FP Superior,NO,19,3.6,1,1,8,9,1,1
67,1977-07-19,53,Casado,Hombre,1,Comercial,Manager,Técnico Nivel A,28000,1307,26,390,0,31181.85,2016-05-24,5,4-6,40,2,0,Máster,NO,54.3,1.2,1,3,4,7,1,1
69,1998-10-05,31,Casado,Hombre,1,Compras,Manager,Comercial,17000,961,29,293,1904,21166.95,2015-11-17,5,4-6,26.5,0,4,FP Superior,NO,61,2.3,1,1,9,6,1,1
70,2005-09-16,26,Soltero,Hombre,0,Soporte y Mantenimiento,Técnico Nivel C,Operario,25000,1229,25,253,2097,30007.95,2017-08-20,4,2-4,56.7,0,0,Máster,NO,16.1,0.1,1,3,11,8,1,0
72,1983-08-27,39,Soltero,Hombre,1,Comercial,Comercial,Operario,25000,1260,37,368,1503,29536.5,2008-10-06,13,>8,39.9,2,0,Máster,NO,66.3,1.1,1,3,11,7,1,0
76,1969-10-12,60,Viudo,Hombre,1,IT,Técnico de Soporte,Técnico de Soporte,28000,1569,34,339,0,31404.45,2015-09-21,6,4-6,44.9,1,0,Grado,SI,44,2.2,0,2,10,4,1,3
79,1968-11-04,59,Casado,Hombre,3,Producción,Operario,Técnico Nivel B,31000,1489,31,459,0,34595.4,2013-08-25,8,>8,25.8,1,4,Grado,NO,50.6,4,1,2,6,9,1,1
80,1975-06-11,51,Casado,Hombre,1,Soporte y Mantenimiento,Técnico de Soporte,Técnico Nivel B,31000,1485,37,548,0,34684.65,2012-09-30,9,>8,21.8,0,5,Máster,NO,54.5,1.8,1,3,6,8,1,1
81,2001-12-01,29,Soltero,Hombre,0,Comercial,Comercial,Técnico Nivel A,28000,1335,26,395,0,31216.5,2016-07-31,5,4-6,41.9,1,1,Máster,NO,54.1,2,1,3,4,7,1,0
86,1991-10-13,34,Casado,Hombre,1,Producción,Operario,Técnico Nivel C,17000,0,46,828,0,18719.4,2011-12-09,9,>8,21.9,1,2,FP Superior,NO,31.8,4.2,1,1,8,9,1,1
88,2007-06-22,23,Soltero,Hombre,0,Producción,Operario,Técnico Nivel A,28000,1364,27,402,0,31254.3,2016-07-19,5,4-6,35.5,1,0,Máster,NO,54.5,3.3,1,3,4,9,1,0
94,1976-09-14,47,Divorciado,Hombre,1,Soporte y Mantenimiento,Técnico de Soporte,Comercial,17000,962,36,360,1761,21087.15,2009-07-17,12,>8,20.8,0,2,FP Superior,NO,42.6,0.3,1,1,9,8,1,2
95,1966-05-14,60,Casado,Hombre,1,Compras,Manager,Técnico Nivel C,17000,0,37,671,0,18554.55,2012-06-04,9,>8,27.6,4,2,FP Medio,NO,47.2,1.5,1,0,8,6,1,1
98,1999-05-13,31,Casado,Hombre,0,Producción,Operario,Comercial,17000,964,34,338,469,19710.6,2016-04-28,5,4-6,50.5,1,4,Grado,NO,37,4.3,1,2,9,9,1,1
99,1992-02-07,38,Casado,Hombre,2,Comercial,Comercial,Técnico de Soporte,28000,1713,35,349,0,31565.1,2016-07-13,5,4-6,41.9,2,8,Grado,SI,65.9,2.2,0,2,10,7,1,1
100,1967-07-23,59,Soltero,Hombre,0,Compras,Manager,Técnico Nivel B,31000,1404,36,539,0,34590.15,2012-10-15,9,>8,25.5,2,2,FP Superior,NO,44.6,1.1,1,1,6,6,1,0
101,2003-06-26,23,Soltero,Hombre,1,Comercial,Comercial,Técnico de Soporte,28000,1319,39,393,0,31197.6,2012-07-12,9,>8,34.8,2,9,Máster,NO,47,1.1,1,3,10,7,1,0
105,1985-05-09,38,Casado,Hombre,4,Producción,Operario,Técnico Nivel A,28000,1314,30,449,0,31252.2,2008-12-08,12,>8,25,2,1,Grado,NO,16.4,1.7,1,2,4,9,1,1
106,1968-06-12,59,Casado,Hombre,3,Soporte y Mantenimiento,Técnico de Soporte,Operario,25000,1237,35,348,1537,29527.05,2013-12-22,7,6-8,138.6,0,4,Máster,NO,34.1,0.3,1,3,11,8,1,1
107,1976-12-18,45,Soltero,Hombre,0,Compras,Técnico Nivel A,Técnico Nivel A,28000,1361,29,441,0,31291.05,2007-12-15,13,>8,21.3,1,1,Máster,NO,32.4,0.1,1,3,4,6,1,0
112,1996-03-21,53,Soltero,Hombre,2,Dirección,Director,Director,50000,0,53,0,0,52500,2011-03-05,10,>8,25.2,4,0,Máster,NO,52.7,1.2,1,3,1,0,1,0
112,2002-04-02,53,Soltero,Hombre,2,Dirección,Director,Director,50000,0,53,0,0,52500,2017-03-16,4,2-4,48.2,4,0,Máster,NO,34,0.9,1,3,1,0,1,0
113,1972-09-04,51,Casado,Hombre,1,Producción,Operario,Técnico Nivel A,28000,1344,28,413,0,31244.85,2010-03-08,11,>8,34,1,1,Máster,NO,37.7,1.4,1,3,4,9,1,1
114,1998-11-07,26,Casado,Hombre,2,Producción,Técnico de Soporte,Manager,18000,0,28,0,0,18900,2012-08-10,9,>8,29.6,1,1,FP Superior,NO,55.4,4.4,1,1,12,9,1,1
114,1998-06-01,26,Casado,Hombre,2,Producción,Técnico de Soporte,Manager,18000,0,28,0,0,18900,2012-03-04,9,>8,24.4,1,1,Grado,NO,33.8,3.4,1,2,12,9,1,1
115,1976-01-13,51,Soltero,Hombre,1,Soporte y Mantenimiento,Técnico de Soporte,Técnico Nivel C,17000,0,35,629,0,18510.45,2013-02-06,8,>8,33.1,1,4,FP Superior,SI,40.7,1.1,0,1,8,8,1,0
117,1977-11-07,54,Casado,Hombre,2,Producción,Operario,Técnico Nivel B,31000,1421,38,571,0,34641.6,2017-09-19,4,2-4,65.7,3,2,Máster,NO,10.5,4.5,1,3,6,9,1,1
121,1961-05-20,62,Soltero,Hombre,0,Producción,Operario,IT Soporte Interno,16000,0,36,358,0,17175.9,2009-04-30,12,>8,26.3,1,3,FP Superior,NO,31.2,3.8,1,1,5,9,1,0
123,1987-01-20,42,Casado,Hombre,1,Producción,Manager,Comercial,17000,963,29,287,1867,21122.85,2014-08-24,7,6-8,97.6,0,4,Grado,NO,42.1,2.3,1,2,9,9,1,1
124,1992-08-08,39,Casado,Hombre,0,Producción,Operario,Técnico de Soporte,28000,1533,37,368,0,31396.05,2017-09-03,4,2-4,46,2,2,Máster,SI,55.6,3.9,0,3,10,9,1,1
130,1995-04-23,40,Casado,Hombre,0,Producción,Ingeniero I+D,Gerente,35000,0,41,739,0,37525.95,2010-11-12,10,>8,33,3,0,Máster,SI,28.9,3,0,3,3,9,1,1
131,1973-12-15,52,Divorciado,Hombre,1,Producción,Operario,Operario,25000,1236,38,381,2602,30679.95,2011-11-27,9,>8,35.8,0,4,Máster,NO,21,3.9,1,3,11,9,1,2
132,1989-07-17,35,Soltero,Hombre,0,Comercial,Comercial,Técnico Nivel C,17000,0,45,804,0,18694.2,2010-10-18,11,>8,31.8,2,1,FP Superior,NO,63.8,2,1,1,8,7,1,0
134,1964-04-03,61,Divorciado,Hombre,0,Producción,Operario,IT Soporte Interno,16000,0,42,417,0,17237.85,2010-12-06,10,>8,39.4,0,2,Máster,NO,54,4.1,1,3,5,9,1,2
135,1983-03-14,41,Soltero,Hombre,0,Producción,Operario,Comercial,17000,984,44,441,1704,21136.5,2010-01-03,11,>8,35.5,0,1,FP Superior,NO,56.1,3.2,1,1,9,9,1,0
136,1963-11-25,57,Soltero,Hombre,2,Comercial,Técnico Nivel A,Técnico Nivel A,28000,1362,26,392,0,31241.7,2007-06-14,14,>8,21.4,0,1,Máster,NO,62.2,0.3,1,3,4,7,1,0
140,2001-08-06,28,Soltero,Hombre,0,Producción,Técnico Nivel A,Comercial,17000,974,39,385,1429,20777.4,2015-08-23,6,4-6,54.7,1,1,FP Superior,NO,27.8,4.4,1,1,9,9,1,0
143,1979-03-26,54,Casado,Hombre,0,Comercial,Manager,Técnico Nivel B,31000,1442,27,398,0,34483.05,2019-01-09,2,<2,66.6,2,2,FP Superior,NO,59.6,0.7,1,1,6,7,1,1
144,1970-10-31,53,Soltero,Hombre,0,Investigación y Desarrollo,Ingeniero I+D,Técnico de Soporte,28000,1293,36,356,0,31131.45,2010-03-20,11,>8,21.3,0,7,Máster,SI,24.1,0.3,0,3,10,2,1,0
145,1972-08-15,52,Soltero,Hombre,0,Compras,Manager,Técnico Nivel B,31000,1466,39,581,0,34699.35,2011-01-14,10,>8,23.8,2,1,Grado,NO,25,1.3,1,2,6,6,1,0
146,1966-09-25,61,Casado,Hombre,1,Administración y Finanzas,Administrativo,Técnico Nivel A,28000,1388,26,393,0,31270.05,2013-10-25,8,>8,31.4,1,0,Grado,NO,25.6,0.6,1,2,4,5,1,1
148,1966-12-15,55,Soltero,Hombre,0,Compras,Técnico Nivel C,Técnico Nivel A,28000,1355,29,441,0,31285.8,2008-01-23,13,>8,29.5,1,1,Máster,NO,21.7,0.5,1,3,4,6,1,0
149,1980-02-14,46,Casado,Hombre,0,Producción,Operario,Técnico Nivel A,28000,1371,30,446,0,31307.85,2012-04-22,9,>8,22,1,1,Máster,NO,21.2,3,1,3,4,9,1,1
150,1969-02-26,53,Soltero,Hombre,1,Investigación y Desarrollo,Técnico I+D,Comercial,17000,994,27,265,412,19604.55,2008-05-29,13,>8,30.4,1,3,Grado,NO,37.9,0.5,1,2,9,2,1,0
152,1971-05-07,51,Casado,Hombre,3,Producción,Manager,IT Soporte Interno,16000,0,48,481,0,17305.05,2008-10-10,13,>8,29.4,1,1,Máster,NO,17.7,3,1,3,5,9,1,1
154,1986-06-19,47,Casado,Hombre,2,Producción,Operario,Comercial,17000,984,36,360,761,20060.25,2019-10-20,2,<2,62.8,1,1,FP Superior,NO,62.4,2.8,1,1,9,9,1,1
155,1961-07-12,62,Casado,Hombre,0,IT,Técnico de Soporte,Técnico Nivel B,31000,1498,28,423,0,34567.05,2009-06-28,12,>8,25.2,2,4,Grado,NO,40.5,0.3,1,2,6,4,1,1
162,1991-02-07,42,Soltero,Hombre,0,Administración y Finanzas,Administrativo,Operario,25000,1264,30,301,2365,30376.5,2018-09-24,3,2-4,45.8,1,4,Grado,NO,55.7,1.3,1,2,11,5,1,0
163,1987-02-16,40,Soltero,Hombre,0,Administración y Finanzas,Administrativo,Técnico Nivel A,28000,1361,28,413,0,31262.7,2013-05-25,8,>8,24.8,2,1,Grado,NO,32,1.4,1,2,4,5,1,0
164,1997-09-25,27,Soltero,Hombre,2,Comercial,Comercial,Técnico Nivel C,17000,0,32,579,0,18457.95,2011-03-22,10,>8,25.1,3,1,Máster,NO,71.1,3.9,1,3,8,7,1,0
168,1965-08-31,61,Casado,Hombre,0,Comercial,Manager,Técnico Nivel A,28000,1312,26,392,0,31189.2,2012-04-06,9,>8,33.2,3,1,Máster,NO,80.9,2.3,1,3,4,7,1,1
171,1996-12-28,33,Soltero,Hombre,1,Soporte y Mantenimiento,IT Soporte Interno,Técnico Nivel A,28000,1388,28,423,0,31301.55,2015-11-01,5,4-6,31.2,2,1,Máster,NO,51.9,2,1,3,4,8,1,0
172,1993-10-20,32,Soltero,Hombre,0,Marketing,Técnico Nivel C,Técnico Nivel C,17000,0,41,737,0,18623.85,2011-08-19,10,>8,25.8,4,2,Máster,NO,76.9,0.9,1,3,8,1,1,0
173,1990-08-10,36,Soltero,Hombre,0,Producción,Operario,Técnico Nivel A,28000,1325,29,436,0,31249.05,2012-06-22,9,>8,24.5,1,0,Grado,NO,15,4.1,1,2,4,9,1,0
176,2000-02-11,29,Soltero,Hombre,0,Producción,Operario,Comercial,17000,963,33,332,772,20021.4,2015-05-19,6,4-6,44.7,0,4,FP Superior,NO,47.6,4.3,1,1,9,9,1,0
177,1981-08-02,50,Divorciado,Hombre,0,Recursos Humanos,Técnico Nivel C,Técnico Nivel C,17000,0,46,821,0,18712.05,2017-06-26,4,2-4,48.7,3,4,Máster,NO,29.6,9.4,1,3,8,3,1,2
178,1983-02-12,47,Divorciado,Hombre,0,Producción,Director,Comercial,17000,993,34,340,1195,20505.45,2016-07-21,5,4-6,27.4,1,2,FP Superior,NO,14.9,2.2,1,1,9,9,1,2
179,1965-04-01,60,Casado,Hombre,0,IT,Técnico de Soporte,Técnico Nivel A,28000,1398,27,404,0,31292.1,2010-12-25,10,>8,35.5,2,1,Grado,NO,18.7,0.5,1,2,4,4,1,1
181,1976-08-14,52,Viudo,Hombre,1,Marketing,Manager,Técnico Nivel C,17000,0,34,617,0,18497.85,2014-09-18,7,6-8,127.9,2,4,Máster,SI,71,1.5,0,3,8,1,1,3
186,1992-05-15,27,Casado,Hombre,1,Producción,Operario,Manager,18000,0,28,0,0,18900,2007-06-06,14,>8,39,1,0,Grado,NO,31.7,5.3,1,2,12,9,1,1
186,1994-10-01,27,Casado,Hombre,1,Producción,Operario,Manager,18000,0,28,0,0,18900,2009-10-22,12,>8,35.1,1,3,Grado,NO,11.5,3.9,1,2,12,9,1,1
187,1982-02-22,48,Soltero,Hombre,0,Administración y Finanzas,Administrativo,Operario,25000,1222,30,305,1572,29502.9,2016-03-23,5,4-6,46,0,3,Máster,NO,36.2,0.7,1,3,11,5,1,0
188,2007-02-03,26,Soltero,Hombre,1,IT,Técnico de Soporte,Operario,25000,1207,39,394,1177,29167.95,2018-11-13,2,<2,73.9,1,4,Máster,NO,24.7,0.3,1,3,11,4,1,0
190,1984-12-19,39,Soltero,Hombre,1,Comercial,Técnico Nivel B,Técnico Nivel A,28000,1360,27,409,0,31257.45,2010-05-14,11,>8,39.9,0,1,Grado,NO,80.5,1.1,1,2,4,7,1,0
191,2007-11-24,28,Soltero,Hombre,0,Producción,Operario,Manager,18000,0,28,0,0,18900,2017-05-24,4,2-4,64,0,0,FP Superior,NO,40.2,3,1,1,12,9,1,0
191,2010-05-27,28,Soltero,Hombre,0,Producción,Operario,Manager,18000,0,28,0,0,18900,2019-11-25,1,<2,94.6,1,1,Grado,NO,39.4,3.1,1,2,12,9,1,0
198,1976-05-12,48,Casado,Hombre,1,Administración y Finanzas,Administrativo,IT Soporte Interno,16000,0,29,287,0,17101.35,2009-12-15,11,>8,33.7,1,1,Grado,NO,79.4,1.2,1,2,5,5,1,1
199,1980-04-26,49,Casado,Hombre,0,IT,Técnico de Soporte,Técnico Nivel A,28000,1342,27,411,0,31240.65,2015-05-15,6,4-6,35.4,1,0,Máster,NO,62.6,1.3,1,3,4,4,1,1
200,1969-11-18,56,Casado,Hombre,0,Producción,Operario,IT Soporte Interno,16000,0,41,414,0,17234.7,2011-06-23,10,>8,21,1,6,Máster,NO,27,5.4,1,3,5,9,1,1
202,1987-07-30,46,Casado,Hombre,5,IT,Técnico de Soporte,Comercial,17000,984,32,324,1788,21100.8,2019-11-24,1,<2,64.4,0,0,Grado,NO,35.5,0.2,1,2,9,4,1,1
206,1994-01-07,36,Soltero,Hombre,0,Comercial,Comercial,Operario,25000,1219,35,354,1908,29905.05,2016-01-15,5,4-6,36.4,1,1,Máster,NO,64.8,1,1,3,11,7,1,0
207,2001-02-06,32,Soltero,Hombre,0,Soporte y Mantenimiento,Manager,Técnico Nivel A,28000,1312,30,450,0,31250.1,2019-05-09,2,<2,82.1,1,1,Máster,NO,52.9,1.2,1,3,4,8,1,0
209,1976-10-18,45,Casado,Hombre,1,Producción,Operario,Operario,25000,1221,31,308,825,28721.7,2007-09-11,14,>8,37.7,1,3,Grado,NO,64.4,4.5,1,2,11,9,1,1
213,1999-04-14,24,Soltero,Hombre,1,Comercial,Comercial,Operario,25000,1220,35,352,863,28807.8,2008-12-17,12,>8,31.6,1,2,Grado,NO,76.5,1.9,1,2,11,7,1,0
214,1975-11-07,48,Divorciado,Hombre,1,Marketing,Técnico Nivel C,Operario,25000,1230,39,388,766,28753.2,2009-08-04,12,>8,26.2,0,3,Máster,NO,25.1,2.5,1,3,11,1,1,2
217,2011-11-09,21,Soltero,Hombre,0,Administración y Finanzas,Administrativo,Operario,25000,1284,37,375,2221,30322.95,2018-11-29,2,<2,91.9,0,5,Grado,NO,39.9,1.4,1,2,11,5,1,0
220,1968-11-02,53,Divorciado,Hombre,1,Producción,Operario,Comercial,17000,963,26,264,1365,20571.6,2008-03-24,13,>8,33,0,2,FP Medio,NO,20.5,3,1,0,9,9,1,2
223,1963-03-16,60,Casado,Hombre,5,Administración y Finanzas,Manager,Operario,25000,1260,38,381,1894,29960.7,2009-01-08,12,>8,25.2,1,1,Máster,NO,90.7,1.2,1,3,11,5,1,1
225,1990-08-21,34,Soltero,Hombre,0,Producción,Operario,Técnico Nivel A,28000,1310,28,423,0,31219.65,2010-07-18,11,>8,28.2,0,0,Grado,NO,12.8,2.8,1,2,4,9,1,0
226,1974-08-29,51,Casado,Hombre,1,Compras,Manager,Técnico de Soporte,28000,1684,26,257,0,31438.05,2011-06-13,10,>8,38,1,1,FP Superior,SI,41.4,2.5,0,1,10,6,1,1
227,1968-11-08,57,Soltero,Hombre,2,Compras,Técnico Nivel C,Técnico Nivel A,28000,1384,28,414,0,31287.9,2011-12-17,9,>8,25.5,1,1,Grado,NO,20.3,3.8,1,2,4,6,1,0
228,1999-11-20,43,Casado,Hombre,1,Producción,Comercial,Gerente,35000,0,71,1273,0,38086.65,2014-11-17,6,4-6,28.1,2,0,Máster,NO,57.9,2.8,1,3,3,9,1,1
230,1975-04-28,53,Soltero,Hombre,0,Producción,Operario,Técnico de Soporte,28000,1800,31,315,0,31620.75,2014-02-25,7,6-8,137.8,1,9,Grado,NO,17.8,3.8,1,2,10,9,1,0
231,1968-03-02,61,Viudo,Hombre,0,Compras,Manager,IT Soporte Interno,16000,0,39,389,0,17208.45,2015-01-14,6,4-6,23.2,1,1,Máster,NO,24.3,0.3,1,3,5,6,1,3
232,2001-03-24,28,Soltero,Hombre,0,Soporte y Mantenimiento,Técnico de Soporte,Técnico Nivel C,17000,0,30,544,0,18421.2,2015-08-23,6,4-6,29.9,1,2,FP Superior,SI,32,2.1,0,1,8,8,1,0
238,1998-04-17,31,Casado,Hombre,0,Producción,Operario,Técnico de Soporte,28000,1202,31,307,0,30984.45,2015-10-25,6,4-6,29.4,1,7,Máster,SI,35.9,4,0,3,10,9,1,1
246,2009-09-11,23,Soltero,Hombre,1,Compras,Técnico Nivel B,Comercial,17000,976,40,399,1407,20772.15,2018-11-13,2,<2,67.5,0,3,Grado,NO,21.7,0.6,1,2,9,6,1,0
252,1997-07-08,34,Soltero,Hombre,0,Producción,Operario,Técnico Nivel A,28000,1353,28,427,0,31269,2017-12-17,3,2-4,68,2,0,Grado,NO,30.3,1.6,1,2,4,9,1,0
253,1971-01-28,60,Soltero,Hombre,1,Comercial,Comercial,Técnico de Soporte,28000,1583,30,299,0,31375.05,2016-09-27,5,4-6,27.1,1,2,Grado,SI,72.1,2.5,0,2,10,7,1,0
255,2005-10-20,25,Soltero,Hombre,1,Producción,Operario,Técnico Nivel A,28000,1368,27,411,0,31266.9,2016-07-12,5,4-6,42.5,2,0,Grado,NO,44.9,3.3,1,2,4,9,1,0
257,1974-08-10,50,Casado,Hombre,5,Comercial,Comercial,Técnico de Soporte,28000,1605,27,266,0,31364.55,2010-08-31,11,>8,36.1,1,0,Máster,SI,70.7,1.7,0,3,10,7,1,1
258,1990-06-18,38,Soltero,Hombre,1,Recursos Humanos,Técnico Nivel C,Técnico Nivel A,28000,1391,28,416,0,31298.4,2014-05-09,7,6-8,99.7,2,1,Máster,NO,41.2,4.4,1,3,4,3,1,0
262,1969-04-18,59,Divorciado,Hombre,1,Producción,Operario,Técnico Nivel A,28000,1333,27,410,0,31230.15,2014-06-12,7,6-8,129.7,2,1,Máster,NO,39.3,3.8,1,3,4,9,1,2
264,2006-08-13,21,Soltero,Hombre,0,Recursos Humanos,Administrativo,Técnico de Soporte,28000,1261,26,255,0,30991.8,2013-05-25,8,>8,21.9,1,6,Grado,SI,28.4,1.7,0,2,10,3,1,0
265,2010-10-20,29,Soltero,Hombre,1,Producción,Operario,Manager,18000,0,29,0,0,18900,2018-08-08,3,2-4,56.5,0,1,FP Superior,NO,31.7,3.7,1,1,12,9,1,0
265,2012-02-11,29,Soltero,Hombre,1,Producción,Operario,Manager,18000,0,29,0,0,18900,2019-11-30,1,<2,88.5,1,2,FP Superior,NO,37.8,3.1,1,1,12,9,1,0
266,1999-01-12,34,Soltero,Hombre,0,Compras,Técnico Nivel B,Técnico Nivel A,28000,1372,30,443,0,31306.8,2019-05-26,2,<2,62,1,0,Máster,NO,34.2,0.7,1,3,4,6,1,0
